彰化縣溪湖鎮西安段1301-0000地號
彰化縣鹿港鎮上林段0547-0083地號
臺中市沙鹿區南勢坑地段南勢坑小段519-5地號
臺中市西屯區廣褔地段0712-0006地號
臺中市霧峰區峰西地段895地號
彰化縣線西鄉宏濱段14-25地號
臺中市后里區后里段后里小段0019-7地號
彰化縣鹿港鎮上林段0547-0020地號
彰化縣鹿港鎮鹽埔段0710-0000地號
彰化縣線西鄉西興段77-24地號
彰化縣伸港鄉全興段0839-0000地號
彰化縣線西鄉宏濱段0051-0001地號
彰化縣溪湖鎮平和地段252地號
臺中市后里區后里地段后里小段76地號
臺中市西屯區廣昌地段0171地號
彰化縣鹿港鎮上林段547-80地號
南投縣草屯鎮中興地段0510-0000地號
彰化縣線西鄉西興段4地號
彰化縣大村鄉鎮安段403地號
彰化縣鹿港鎮上林地段0547-0031地號
彰化縣秀水鄉馬鳴段445地號
彰化縣秀水鄉馬鳴段445地號
彰化縣鹿港鎮鹿工段24地號
彰化縣鹿港鎮鹽埔段722地號
臺中市清水區海濱段臨港小段35地號等3筆
臺中市太平市新德隆地段1163-0000地號
彰化縣線西鄉西興段77-48地號
臺中市西屯區何厝地段0314-0011地號
彰化縣鹿港鎮上林段547-56地號
臺中市龍井區福麗段904地號
臺中市烏日區新榮泉地段0023-0000地號
臺中市霧峰區人和地段0982-0000地號
彰化縣員林市新生地段1249地號
彰化縣田尾鄉海豐段1150地號
彰化縣員林市新員水地段740地號
臺中市梧棲區港口段332-56地號
彰化縣鹿港鎮上林段547-72地號
臺中市北屯區北屯地段434-9地號
彰化縣線西鄉宏濱段14-10地號
臺中市大雅區橫山地段0052地號
臺中市北屯區仁美地段0036-0000地號
彰化縣鹿港鎮上林段0547-0102地號
臺中市梧棲區民權段1753-7地號
臺中市梧棲區民權段1753-8地號
臺中市東區旱溪地段124-192地號
臺中市大雅區六張犁地段0061-0052地號
臺中市霧峰區吳厝地段0363-0000地號
臺中市后里區月眉段月眉小段127地號
彰化縣溪湖鎮顯光段0606地號
南投縣南投市牛運堀段0141-0002地號
臺中市西屯區安林地段0230地號
彰化縣鹿港鎮鹿工段0024-0000地號
彰化縣鹿港鎮鹿工段0025-0000地號
彰化縣鹿港鎮鹿工段0026-0000地號
彰化縣鹿港鎮上林段495-3地號
彰化縣大城鄉美豐段2210地號
彰化縣鹿港鎮上林段102-1地號
臺中市大雅區四維地段0663-0000地號
臺中市大雅區四維地段0668-0000地號
臺中市大雅區四維地段0689-0000地號
臺中市北區文正地段30-4地號
彰化縣鹿港鎮鹽埔段0710-0002地號
彰化縣鹿港鎮鹽埔段0710-0001地號
彰化縣芳苑鄉芳林段49地號
彰化縣溪湖鎮西安段1301地號
彰化縣鹿港鎮上林段375地號
彰化縣社頭鄉社興地段247-9地號
彰化縣社頭鄉社興地段248地號
